,Gene names,Tissue,Pathway,CellularLocation,Enzymename,EnzymeType,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Substrate,Product,Cofactor,Inhibitor,ChebiID,pH,Temperature,KeggReactionID,ReactionEquation,KineticMechanismType
28,HDAC3,colon,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC3 isozyme,Ki,Trichostatin A,5.8e-10,,7.0E-11,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15377;15358;46024;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
29,HDAC3,colon,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC3 isozyme,kcat,,1.5,,0.1,s^(-1),H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15377;15358;46024;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
30,HDAC6,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC6 isozyme,Ki,Trichostatin A,9.9e-10,,3.8E-10,M,Acetylhistone;H2O,Histone;Acetate,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
33,HDAC6,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC6 isozyme,concentration,Trichostatin A,0.0,1e-09,,M,Acetylhistone;H2O,Histone;Acetate,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
36,HDAC6,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC6 isozyme,concentration,Acetylhistone,1e-06,8e-05,,M,Acetylhistone;H2O,Histone;Acetate,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
39,HDAC6,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC6 isozyme,concentration,Enzyme,2e-10,,,M,Acetylhistone;H2O,Histone;Acetate,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
42,HDAC6,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC6 isozyme,Km,Acetylhistone,1.8e-05,,2.0E-6,M,Acetylhistone;H2O,Histone;Acetate,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
45,HDAC6,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC6 isozyme,kcat,,0.7,,0.2,s^(-1),Acetylhistone;H2O,Histone;Acetate,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
48,HDAC8,-,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC8 isozyme,concentration,Acetylhistone,1e-06,8e-05,,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15358;46024;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
51,HDAC8,-,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC8 isozyme,Km,Acetylhistone,,,,-,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15358;46024;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
54,HDAC8,-,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC8 isozyme,kcat,,,,,-,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15358;46024;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
57,HDAC8,-,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC8 isozyme,concentration,Trichostatin A,0.0,1e-09,,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15358;46024;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
60,HDAC8,-,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC8 isozyme,concentration,Enzyme,2e-10,,,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15358;46024;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
63,HDAC8,-,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC8 isozyme,Ki,Trichostatin A,1.3e-07,,2.0E-8,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15358;46024;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
66,HDAC10,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC10 isozyme,Km,Acetylhistone,3.6e-05,,3.0E-6,M,Acetylhistone;H2O,Acetate;Histone,,Trichostatin A,46024;15377;30089;15366;15358,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
67,HDAC10,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC10 isozyme,Ki,Trichostatin A,7e-09,,2.0E-9,M,Acetylhistone;H2O,Acetate;Histone,,Trichostatin A,46024;15377;30089;15366;15358,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
68,HDAC10,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC10 isozyme,concentration,Enzyme,2e-10,,,M,Acetylhistone;H2O,Acetate;Histone,,Trichostatin A,46024;15377;30089;15366;15358,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
69,HDAC10,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC10 isozyme,kcat,,0.006,,0.002,s^(-1),Acetylhistone;H2O,Acetate;Histone,,Trichostatin A,46024;15377;30089;15366;15358,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
70,HDAC10,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC10 isozyme,concentration,Trichostatin A,0.0,1e-09,,M,Acetylhistone;H2O,Acetate;Histone,,Trichostatin A,46024;15377;30089;15366;15358,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
71,HDAC10,liver,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC10 isozyme,concentration,Acetylhistone,1e-06,8e-05,,M,Acetylhistone;H2O,Acetate;Histone,,Trichostatin A,46024;15377;30089;15366;15358,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
11147,OGT,-,,"[unknown, unknown, unknown, unknown, unknown]",protein O-GlcNAc transferase,wildtype mOGT,Km,UDP-N-acetyl-D-glucosamine,0.0008,,-,M,Protein;UDP-N-acetyl-D-glucosamine,UDP;4-N-(N-Acetyl-D-glucosaminyl)-protein,,,16264;36080;16541;17659,7.5,37.0,,Protein + UDP-N-acetyl-D-glucosamine = 4-N-(N-Acetyl-D-glucosaminyl)-protein + UDP,unknown
11148,OGT,-,,"[unknown, unknown, unknown, unknown, unknown]",protein O-GlcNAc transferase,wildtype mOGT,concentration,UDP-N-acetyl-D-glucosamine,1.5e-06,1.2e-05,-,M,Protein;UDP-N-acetyl-D-glucosamine,UDP;4-N-(N-Acetyl-D-glucosaminyl)-protein,,,16264;36080;16541;17659,7.5,37.0,,Protein + UDP-N-acetyl-D-glucosamine = 4-N-(N-Acetyl-D-glucosaminyl)-protein + UDP,unknown
11149,OGT,-,,"[unknown, unknown, unknown, unknown, unknown]",protein O-GlcNAc transferase,wildtype mOGT,concentration,Protein,0.025,,-,mg/ml,Protein;UDP-N-acetyl-D-glucosamine,UDP;4-N-(N-Acetyl-D-glucosaminyl)-protein,,,16264;36080;16541;17659,7.5,37.0,,Protein + UDP-N-acetyl-D-glucosamine = 4-N-(N-Acetyl-D-glucosaminyl)-protein + UDP,unknown
11150,OGT,-,,"[unknown, unknown, unknown, unknown, unknown]",protein O-GlcNAc transferase,wildtype mOGT,Vmax,,2.08333333e-06,,-,mol*s^(-1)*g^(-1),Protein;UDP-N-acetyl-D-glucosamine,UDP;4-N-(N-Acetyl-D-glucosaminyl)-protein,,,16264;36080;16541;17659,7.5,37.0,,Protein + UDP-N-acetyl-D-glucosamine = 4-N-(N-Acetyl-D-glucosaminyl)-protein + UDP,unknown
23466,PKM,kidney,,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Vmax,,3.5e-07,,3.33333E-8,mol*s^(-1)*g^(-1),Cidofovir monophosphate;Phosphoenolpyruvate,Pyruvate;Cidofovir diphosphate,,,18021;44897;32816;15361,7.5,37.0,,Cidofovir monophosphate + Phosphoenolpyruvate = Cidofovir diphosphate + Pyruvate,unknown
23471,PKM,kidney,,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Km,Cidofovir monophosphate,0.0058,,8.9E-4,M,Cidofovir monophosphate;Phosphoenolpyruvate,Pyruvate;Cidofovir diphosphate,,,18021;44897;32816;15361,7.5,37.0,,Cidofovir monophosphate + Phosphoenolpyruvate = Cidofovir diphosphate + Pyruvate,unknown
23476,PKM,kidney,,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,concentration,Phosphoenolpyruvate,0.005,,-,M,Cidofovir monophosphate;Phosphoenolpyruvate,Pyruvate;Cidofovir diphosphate,,,18021;44897;32816;15361,7.5,37.0,,Cidofovir monophosphate + Phosphoenolpyruvate = Cidofovir diphosphate + Pyruvate,unknown
23481,PKM,kidney,,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Vmax/Km,Cidofovir monophosphate,6e-05,,-,l*g^(-1)*s^(-1),Cidofovir monophosphate;Phosphoenolpyruvate,Pyruvate;Cidofovir diphosphate,,,18021;44897;32816;15361,7.5,37.0,,Cidofovir monophosphate + Phosphoenolpyruvate = Cidofovir diphosphate + Pyruvate,unknown
23486,PKM,kidney,Glycolysis classical,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Km,CDP,0.00436,,4.5E-4,M,Phosphoenolpyruvate;CDP,Pyruvate;CTP,,,3611;17239;32816;15361;37563;17677;18021;44897,7.5,37.0,R00572,CTP + Pyruvate = CDP + Phosphoenolpyruvate,unknown
23491,PKM,kidney,Glycolysis classical,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Vmax/Km,CDP,0.0766666667,,-,l*g^(-1)*s^(-1),Phosphoenolpyruvate;CDP,Pyruvate;CTP,,,3611;17239;32816;15361;37563;17677;18021;44897,7.5,37.0,R00572,CTP + Pyruvate = CDP + Phosphoenolpyruvate,unknown
23496,PKM,kidney,Glycolysis classical,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Vmax,,0.000338333333,,2.16667E-5,mol*s^(-1)*g^(-1),Phosphoenolpyruvate;CDP,Pyruvate;CTP,,,3611;17239;32816;15361;37563;17677;18021;44897,7.5,37.0,R00572,CTP + Pyruvate = CDP + Phosphoenolpyruvate,unknown
23501,PKM,kidney,Glycolysis classical,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,concentration,Phosphoenolpyruvate,0.005,,-,M,Phosphoenolpyruvate;CDP,Pyruvate;CTP,,,3611;17239;32816;15361;37563;17677;18021;44897,7.5,37.0,R00572,CTP + Pyruvate = CDP + Phosphoenolpyruvate,unknown
23506,PKM,kidney,,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Vmax,,4.216666670000001e-05,,7.5E-6,mol*s^(-1)*g^(-1),dCDP;Phosphoenolpyruvate,dCTP;Pyruvate,,,16311;32816;15361;18021;44897;28846,7.5,37.0,,dCDP + Phosphoenolpyruvate = dCTP + Pyruvate,unknown
23511,PKM,kidney,,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,concentration,Phosphoenolpyruvate,0.005,,-,M,dCDP;Phosphoenolpyruvate,dCTP;Pyruvate,,,16311;32816;15361;18021;44897;28846,7.5,37.0,,dCDP + Phosphoenolpyruvate = dCTP + Pyruvate,unknown
23516,PKM,kidney,,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Km,dCDP,0.00476,,0.00142,M,dCDP;Phosphoenolpyruvate,dCTP;Pyruvate,,,16311;32816;15361;18021;44897;28846,7.5,37.0,,dCDP + Phosphoenolpyruvate = dCTP + Pyruvate,unknown
23521,PKM,kidney,,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype M2,Vmax/Km,dCDP,0.00866666667,,-,l*g^(-1)*s^(-1),dCDP;Phosphoenolpyruvate,dCTP;Pyruvate,,,16311;32816;15361;18021;44897;28846,7.5,37.0,,dCDP + Phosphoenolpyruvate = dCTP + Pyruvate,unknown
44266,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,Km,GST-GAR,0.0013,,-,mg/ml,GST-GAR;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44269,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,Vmax,,2.6666666700000002e-12,,-,mol*s^(-1)*g^(-1),GST-GAR;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44272,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,concentration,S-Adenosyl-L-methionine,3.4e-07,,-,M,GST-GAR;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44275,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,concentration,Enzyme,0.0083,,-,mg/ml,GST-GAR;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44278,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,concentration,GST-GAR,0.0,0.009000000000000001,-,mg/ml,GST-GAR;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44281,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,concentration,S-Adenosyl-L-methionine,3.4e-07,,-,M,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44284,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,concentration,Enzyme,0.0083,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44287,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,concentration,GST-GAR,0.0,0.009000000000000001,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44290,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,Vmax,,8.83333333e-11,,-,mol*s^(-1)*g^(-1),S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44293,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,Km,GST-GAR,0.00053,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44296,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,concentration,S-Adenosyl-L-methionine,3.4e-07,,-,M,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44300,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,concentration,GST-GAR,0.0,0.009000000000000001,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44304,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,concentration,Enzyme,0.0083,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44308,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,Km,GST-GAR,0.0015,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44312,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,Vmax,,1.28333333e-09,,-,mol*s^(-1)*g^(-1),S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44316,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,Vmax,,3e-10,,-,mol*s^(-1)*g^(-1),S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44319,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,concentration,S-Adenosyl-L-methionine,0.0,9e-06,-,M,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44322,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,concentration,Enzyme,0.0083,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44325,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,concentration,GST-GAR,0.0166,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44328,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype (delta1-60) PRMT8-GST fusion protein,Km,S-Adenosyl-L-methionine,3e-07,,-,M,S-Adenosyl-L-methionine;GST-GAR,S-Adenosyl-L-homocysteine;Methylated GST-GAR,,,16680;33442;15414,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44331,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,concentration,S-Adenosyl-L-methionine,0.0,9e-06,-,M,S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44334,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,Vmax,,2.83333333e-11,,-,mol*s^(-1)*g^(-1),S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
